idx,x,y,w,h
152,7.237338625164441,0.0,0.018499587504738124,14222.22222222222
153,7.2565881959463985,0.0,0.025499431425449845,6736.8421052631575
154,7.235088675332784,0.0,0.068498472652679,20709.551656920077
155,7.30608709224286,0.0,0.019249570781957236,9980.506822612086
156,7.332586501371269,0.0,0.1492466721666035,33434.697855750484
157,7.486833062052666,0.0,0.024249459296751322,12475.633528265107
158,7.515332426586992,0.0,0.01674962652456019,5239.766081871345
159,7.526582175745279,0.0,0.05774871234587171,16218.323586744638
160,7.5768310553189595,0.0,0.01374969341568374,4241.715399610136
161,7.680078753149457,0.0,0.019249570781957236,8483.430799220272
162,7.760326963811902,0.0,0.019749559633436643,12725.146198830409
163,7.797076144395639,0.0,0.03274926977190127,19212.475633528265
164,7.818325670583514,0.0,0.021999509465093985,9980.506822612086
165,7.849324979375237,0.0,0.017499609801779305,5738.791423001949
166,7.8650746281968384,0.0,0.010499765881067583,6736.8421052631575
167,7.876824366206605,0.0,0.017499609801779305,10729.044834307992
168,7.934823072978216,0.0,0.03099930879172334,8982.456140350876
169,7.972322236839172,0.0,0.019999554059176347,6736.8421052631575
170,7.993071774175568,0.0,0.014999665544382262,4990.253411306043
171,8.062070235679727,0.0,0.025499431425449845,6986.354775828459
172,8.05907030257085,0.0,0.045748979910365896,15968.810916179336
173,8.094569511025888,0.0,0.016249637673080783,3243.6647173489278
174,8.106819237887134,0.0,0.041499074672790924,14471.734892787523
175,8.19431728689603,0.0,0.046248968761845304,44662.76803118908
176,8.246566121875627,0.0,0.03474922517781891,6237.8167641325535
177,8.316314566657006,0.0,0.05424879038551585,18713.45029239766
178,8.373063301299918,0.0,0.013999687841423445,5738.791423001949
179,8.380563134072109,0.0,0.029999331088764524,10479.53216374269
180,8.43081201364579,0.0,0.05999866217752905,32935.67251461988
181,8.505060358090482,0.0,0.014749671118642557,7235.867446393761
182,8.542809516377178,0.0,0.03674918058373654,8233.91812865497
183,8.554309259961205,0.0,0.08399812704854066,27446.393762183234
184,8.639307364712703,0.0,0.011249749158286696,8483.430799220272
185,8.689056255434904,0.0,0.010749760306807287,4241.715399610136
186,8.720305558652367,0.0,0.010499765881067583,4990.253411306043
187,8.728555374701777,0.0,0.02974933666302482,9231.968810916178
188,8.801303752592032,0.0,0.026249414702668956,8233.91812865497
189,8.840802871858905,0.0,0.023749470445271915,5988.304093567251
190,8.858052487234945,0.0,0.044998996633146784,22705.653021442493
191,8.927550937590583,0.0,0.02699939797988807,15469.785575048732
192,8.947050502798279,0.0,0.06224861200918638,28444.44444444444
193,9.04054841802493,0.0,0.11924734107783898,40670.56530214425
194,9.129546433588263,0.0,0.019749559633436643,6237.8167641325535
195,9.162545697785905,0.0,0.018249593078998417,3493.1773879142297
